Waypoint Name,Waypoint Index,Time (UTC),Latitude,Longitude,TWD97:X,TWD97:Y,Elevation (m),Description,Comment,Symbol,Elevation (Calibrated) (m)
南鹿東0.0K,0,2024-08-11 09:04:09,23.456660,120.954850,245387,2594853,3681.900000,圓C-1-2/C-1型 方向牌,圓C-1-2/C-1型 方向牌,Milestone,3691.239990
南鹿東0.1K,1,2016-04-25 21:13:33,23.455694,120.955077,245410,2594746,3671.000000,,,Milestone,3670.949951
南鹿東0.2K,2,2024-08-11 09:04:09,23.454723,120.955569,245461,2594638,3671.400000,南D-8-1/公告及警告牌,南D-8-1/公告及警告牌,Milestone,3686.610107
南鹿東0.3K,3,2016-04-25 21:17:12,23.453971,120.955628,245467,2594555,3684.000000,,,Milestone,3683.500000
南鹿東0.4K,4,2016-04-25 21:19:08,23.453244,120.955389,245442,2594474,3687.000000,,,Milestone,3686.689941
南鹿東0.5K,5,2024-08-11 09:04:09,23.452530,120.955170,245420,2594395,3663.500000,南C-3-1/C-3型 里程柱,南C-3-1/C-3型 里程柱,Milestone,3688.209961
南鹿東0.6K,6,2016-04-25 21:22:17,23.451755,120.955238,245427,2594309,3689.000000,,,Milestone,3689.250000
南鹿東0.7K,7,2016-04-25 21:24:17,23.450990,120.955275,245431,2594225,3712.000000,,,Milestone,3712.459961
南鹿東0.8K,8,2024-08-11 09:04:09,23.450298,120.955266,245430,2594148,3723.800000,南C-1-1/C-1型 方向牌,南C-1-1/C-1型 方向牌,Milestone,3733.030029
鹿東0.9K,9,2024-08-11 09:04:09,23.449531,120.955320,245435,2594063,3776.000000,,,Milestone,3776.489990
鹿東1.0K,10,2024-08-11 09:04:09,23.448699,120.955240,245427,2593971,3796.100000,南C-2-1/C-1型 方向牌,南C-2-1/C-1型 方向牌,Milestone,3804.719971
鹿東1.1K,11,2024-08-11 09:04:09,23.447986,120.955857,245490,2593892,3806.500000,南F-1-2/F-1型 指引標誌,南F-1-2/F-1型 指引標誌,Milestone,3806.500000
鹿東1.2K,12,2024-08-11 09:04:09,23.447557,120.956900,245596,2593844,3774.600000,南F-1-3/F-1型 指引標誌,南F-1-3/F-1型 指引標誌,Milestone,3774.610107
鹿東1.3K,13,2024-08-11 09:04:09,23.447086,120.957413,245649,2593792,3792.400000,,,Milestone,3789.830078
鹿東1.4K,14,2024-08-11 09:04:09,23.446539,120.957659,245674,2593732,3807.400000,南C-2-2/C-3型 里程柱,南C-2-2/C-3型 里程柱,Milestone,3817.820068
鹿東1.5K,15,2024-08-11 09:04:09,23.445726,120.958393,245749,2593642,3786.400000,南C-1-3/C-1型 方向牌,南C-1-3/C-1型 方向牌,Milestone,3794.570068
東1.6K,16,2024-08-11 09:04:09,23.444912,120.958619,245772,2593552,3750.000000,,,Milestone,3759.100098
東1.7K,17,2024-08-11 09:04:09,23.444029,120.958940,245805,2593454,3727.500000,,,Milestone,3742.169922
東1.8K,18,2024-08-11 09:04:09,23.443228,120.959116,245823,2593365,3721.700000,,,Milestone,3727.709961
東1.9K,19,2024-08-11 09:04:09,23.442333,120.959377,245849,2593266,3717.000000,,,Milestone,3727.969971
東2.0K,20,2024-08-11 09:04:09,23.441389,120.959843,245897,2593161,3728.700000,東南C-3-1/C-3型 里程柱,東南C-3-1/C-3型 里程柱,Milestone,3751.969971
東2.1K,21,2024-08-11 09:04:09,23.440362,120.960191,245932,2593048,3711.900000,,,Milestone,3722.229980
東2.2K,22,2024-08-11 09:04:09,23.439329,120.960917,246007,2592933,3708.600000,,,Milestone,3717.590088
東2.3K/支0.0K,23,2024-08-11 09:04:09,23.439198,120.962259,246144,2592919,3688.500000,東南C-2-1/C-1型 方向牌,東南C-2-1/C-1型 方向牌,Milestone,3695.479980
東2.4K,24,2024-08-11 09:04:09,23.439040,120.963430,246263,2592901,3688.700000,,,Milestone,3709.879883
支0.1K,25,2016-04-24 23:07:28,23.439848,120.961735,246090,2592991,3686.000000,,,Milestone,3685.659912
支0.2K,26,2016-04-24 23:10:49,23.440521,120.961239,246040,2593065,3676.000000,,,Milestone,3675.929932
支0.3K,27,2016-04-24 23:13:11,23.441311,120.961361,246052,2593153,3658.000000,,,Milestone,3657.840088
支0.4K,28,2016-04-24 23:15:30,23.442093,120.961081,246023,2593239,3659.000000,,,Milestone,3658.580078
支0.5K,29,2016-04-24 23:21:36,23.442766,120.960983,246013,2593314,3642.000000,,,Milestone,3641.520020
支0.6K,30,2024-08-11 09:04:09,23.443586,120.961088,246024,2593405,3629.189941,水源叉,水源叉,Milestone,3629.189941
支0.7K,31,2016-04-24 23:28:32,23.444608,120.961559,246072,2593518,3612.000000,,,Milestone,3611.820068
鹿1.6K,32,2024-08-11 09:04:09,23.445326,120.958998,245811,2593597,3759.200000,,,Milestone,3743.679932
鹿1.7K,33,2024-08-11 09:04:09,23.445015,120.959624,245875,2593563,3711.700000,,,Milestone,3716.120117
鹿1.8K,34,2024-08-11 09:04:09,23.444790,120.960270,245941,2593538,3683.600000,鹿F-1-2/F-1型 指引標誌,鹿F-1-2/F-1型 指引標誌,Milestone,3683.580078
鹿1.9K,35,2024-08-11 09:04:09,23.444740,120.960890,246004,2593532,3653.200000,鹿C-1-1/C-1型 方向牌,鹿C-1-1/C-1型 方向牌,Milestone,3653.229980
鹿2.0K,36,2024-08-11 09:04:09,23.445153,120.961577,246074,2593578,3625.200000,,,Milestone,3619.949951
鹿2.1K/支0.8K,37,2024-08-11 09:04:09,23.445398,120.962203,246138,2593605,3612.200000,鹿C-2-1/C-1型 方向牌,鹿C-2-1/C-1型 方向牌,Milestone,3598.479980
鹿2.2K,38,2024-08-11 09:04:09,23.445813,120.962713,246190,2593651,3625.200000,,,Milestone,3622.929932
